Perturbation,Severity_Param,Macro_AUROC,Pooled_AUROC,PR_AUC,Accuracy,F1
Clean,None,0.94795662076364,0.9923723738736054,0.9758540496836041,0.9788583509513742,0.9721448467966574
Blur,3,0.7021908564419945,0.9038145310199879,0.7549530642995088,0.8375616631430585,0.8205527442584664
Blur,5,0.5983415963375432,0.7433575701364012,0.5360739053191601,0.5479210711768852,0.6216455322913594
Blur,7,0.5553153832503787,0.6007349218437557,0.4255671092835342,0.4298801973220578,0.5657541599570585
Downscale,160,0.7568294164124874,0.9248878923766817,0.7977210237294903,0.879492600422833,0.8604081632653061
Downscale,112,0.6167883242943143,0.8137803562767505,0.6143088879535022,0.6627906976744186,0.6877650897226754
Downscale,80,0.644930867492455,0.8034952263850716,0.6016465412263045,0.635306553911205,0.6706967865097041
Jpeg,80,0.9257073965534811,0.9823669812203777,0.945034776654432,0.9626497533474278,0.9516864175022789
Jpeg,50,0.9476345495755885,0.974565981824525,0.9351131581009188,0.9334038054968288,0.9121338912133892
Jpeg,30,0.9256349108415473,0.9379097671905446,0.8667659557509011,0.8763213530655392,0.8334124347413384
