Scenario,Perturbation_Type,Parameter,Pooled_AUROC,Macro_AUROC,PR_AUC,Accuracy,Inference_Time_Sec
Baseline (Clean),None,None,0.9923723738736054,0.94795662076364,0.9758540496836041,0.97815362931642,81.43812847137451
"Gaussian Blur (K=3, S=1.0)",gaussian_blur,"k=3, s=1.0",0.8864944882191268,0.6773002028976274,0.7233807775258365,0.8033826638477801,76.99186611175537
"Gaussian Blur (K=5, S=1.5)",gaussian_blur,"k=5, s=1.5",0.6313206788573957,0.5679194809017747,0.44528392713220705,0.4654686398872445,75.24521851539612
"Gaussian Blur (K=7, S=2.0)",gaussian_blur,"k=7, s=2.0",0.5429513661388178,0.51911844829841,0.3927236648685763,0.3992248062015504,77.05164170265198
Downscaled (112x112),downscaling,112x112,0.6696196849924695,0.576997817450183,0.47268319296053657,0.5007047216349542,77.24366164207458
Downscaled (56x56),downscaling,56x56,0.525830223959973,0.5125387350528855,0.3839213924679942,0.38865398167723747,75.9077479839325
FFT Low-Pass (Cut=40%),fft_lowpass,Cutoff=40%,0.9768791322401954,0.8754012842747653,0.9284288129514622,0.9601832276250881,78.79243588447571
FFT Low-Pass (Cut=20%),fft_lowpass,Cutoff=20%,0.8769826243820253,0.693734540687149,0.7092433058766533,0.7885835095137421,79.26898670196533
JPEG Compression (Q=75),jpeg_compression,Q=75,0.9818184090502973,0.9211738532549688,0.9442636301868275,0.9605355884425651,246.71618723869324
JPEG Compression (Q=50),jpeg_compression,Q=50,0.9745713000229745,0.9476353421620517,0.9351193214352328,0.9312896405919662,242.95893454551697
JPEG Compression (Q=30),jpeg_compression,Q=30,0.9379089694607772,0.9256277359319318,0.8667760791603005,0.872093023255814,240.6449749469757
